USER,SEX,AGE,MARITAL_STATUS,CHILD_QTY,HEIGHT,WEIGHT,SLEEP_HRS,PHYSICAL_ACT,READING,WORK_HRS,WORK_FIELD,SMOKER,LIVING_STYLE,BURNOUT,WORKFROMHOME
41,1,30,0,0,168.05,119,9,86,1,5,Architecture and Engineering,0,0,1,YES
79,1,30,1,0,166.8,100,9,87,0,5,Health and Medicine,0,0,1,NO
115,1,30,1,0,165.55,100,9,88,0,5,Health and Medicine,0,0,1,NO
116,1,30,1,0,164.3,99,8.5,89,0,5,Education,0,0,1,YES
117,1,30,1,0,163.05,98,8.4,90,0,5,Sales and Business Management,0,0,1,NO
122,1,30,1,0,161.8,98,8.3,91,1,5,Health and Medicine,0,0,1,NO
123,1,30,1,0,160.55,98,8.3,92,1,5,Law and Public Policy,0,0,0,NO
124,1,30,1,0,159.3,98,9,93,1,5,Arts and Entertainment,0,0,0,YES
129,1,30,0,0,158.05,97,9,94,1,5,Law and Public Policy,0,0,0,NO
130,1,30,0,0,156.8,97,9,95,1,5,Community and Social Services,0,0,0,YES
131,1,30,0,0,173.05,97,9,96,1,5,Law and Public Policy,0,0,0,YES
136,1,30,1,0,171.8,96,8.5,97,1,5,Health and Medicine,0,0,1,NO
137,1,30,1,0,170.55,95,8.4,98,1,5,Sales and Business Management,0,1,1,YES
138,1,30,0,0,169.3,120,8.3,99,1,5,Arts and Entertainment,1,1,0,YES
143,1,30,0,0,168.05,121,8.3,100,1,5,Law and Public Policy,0,1,0,NO
144,1,30,0,0,166.8,121,9,101,1,5,Community and Social Services,0,1,0,NO
145,1,30,0,0,165.55,122,9,102,1,5,Community and Social Services,0,0,1,YES
150,1,30,1,0,164.3,121,9,103,1,5,Community and Social Services,0,1,0,NO
151,1,30,1,0,163.05,120,9,104,1,5,Community and Social Services,0,0,0,NO
152,1,30,1,0,161.8,119,8.5,105,1,5,Education,0,1,1,YES
157,1,30,1,0,160.55,100,8.4,106,1,5,Health and Medicine,0,0,0,YES
158,1,30,1,0,159.3,100,8.3,107,1,5,Education,0,1,1,YES
159,1,30,0,0,158.05,99,8.3,108,1,5,Education,0,0,1,YES
164,1,30,0,0,156.8,98,8,109,1,5,Health and Medicine,0,1,0,NO
165,1,30,0,0,173.05,98,8,110,1,5,Health and Medicine,0,0,0,NO
166,1,30,0,0,171.8,98,8,111,1,5,Law and Public Policy,0,1,0,NO
171,1,30,1,0,170.55,98,8.3,112,1,5,Education,0,0,0,NO
172,1,30,0,0,169.3,97,8,113,1,5,Community and Social Services,0,1,1,YES
173,1,30,1,0,168.05,97,8,114,0,5,Education,0,1,1,YES
178,1,30,0,0,166.8,97,8,115,0,5,Community and Social Services,0,1,0,NO
179,1,30,0,0,165.55,96,8.3,116,0,5,Education,0,1,0,YES
180,1,30,0,0,164.3,95,8,117,0,5,Education,0,1,1,YES
185,1,30,1,0,163.05,120,8,118,0,5.5,Arts and Entertainment,0,1,0,YES
186,1,30,1,0,161.8,121,8,119,1,5.5,Community and Social Services,0,1,1,NO
187,1,30,1,0,160.55,121,8.3,120,1,5.5,Education,0,1,1,YES
290,1,30,1,0,159.3,122,8,121,1,5.5,Education,0,1,1,YES
331,1,30,0,0,158.05,121,8,122,1,5.5,Education,0,1,1,YES
372,1,30,1,0,156.8,120,8,123,1,5.5,Community and Social Services,0,1,1,NO
413,1,30,1,0,173.05,119,8.3,124,1,5.5,Community and Social Services,0,1,1,YES
454,1,30,1,0,171.8,100,8,125,1,5.5,Education,0,1,1,YES
495,1,30,1,0,170.55,100,8,126,1,5.5,Education,0,1,1,YES
536,1,30,0,0,169.3,99,8,127,1,5.5,Education,0,1,1,YES
577,1,30,1,0,168.05,98,7.5,128,1,5.5,Education,1,1,0,YES
618,1,30,1,0,166.8,98,7.4,129,1,5.5,Community and Social Services,1,1,0,NO
659,0,30,1,0,180,57,5.8,130,1,5.5,Law and Public Policy,1,0,1,NO
700,0,30,1,0,180,57,5.7,131,0,5.5,Health and Medicine,1,0,0,NO
741,0,30,0,0,179,57,5.6,132,0,5.5,"Installation, Repair and Maintenance",1,0,1,NO
782,0,30,1,0,179,57,5.5,133,0,5.5,Education,1,0,0,YES
823,0,30,0,0,178,57,5.4,134,0,5.5,Health and Medicine,1,0,0,NO
864,0,30,1,0,177,57,5.3,135,0,5.5,Health and Medicine,1,0,0,NO
1001,0,30,1,0,177,58,5.2,136,1,5.5,Health and Medicine,0,0,0,NO
1042,0,30,1,0,177,59,5.1,137,1,5,Health and Medicine,0,0,0,NO
1081,0,30,0,0,177,60,5,138,1,5,Health and Medicine,1,0,0,NO
1120,0,30,1,0,177,61,4.9,139,1,5,Health and Medicine,0,0,0,NO
1159,0,30,1,0,175,62,5.9,140,1,5,Education,1,0,1,YES
1198,0,30,0,0,176,63,5.8,141,1,5,Education,0,0,1,YES
1237,0,30,1,0,176,64,5.7,142,1,5,Education,1,0,1,YES
1276,0,30,1,0,176,57,5.6,143,1,5,Health and Medicine,0,0,0,NO
4,1,31,1,0,165.55,98,7.3,144,1,3,Architecture and Engineering,1,1,0,YES
42,1,31,0,0,164.3,98,7,145,1,3,Education,1,1,1,YES
80,1,31,1,0,163.05,97,7,146,0,3,Sales and Business Management,1,1,1,YES
291,1,31,1,0,161.8,97,7,147,0,3,Education,1,1,1,YES
332,1,31,0,0,160.55,97,7,148,0,3,Arts and Entertainment,1,1,0,YES
373,1,31,1,0,159.3,96,7,149,0,3,Sales and Business Management,1,1,1,YES
414,1,31,1,0,158.05,95,7,150,1,3,Sales and Business Management,1,1,1,YES
455,1,31,1,0,156.8,120,7,151,1,3,Sales and Business Management,1,1,1,YES
496,1,31,1,0,173.05,121,7,152,1,3,Architecture and Engineering,0,1,0,YES
537,1,31,0,0,171.8,121,7,153,1,3,Sales and Business Management,0,1,1,YES
578,1,31,1,0,170.55,122,7,154,1,3,Health and Medicine,1,1,0,YES
619,1,31,0,0,169.3,121,7.5,155,1,3,Education,0,1,0,NO
660,0,31,1,0,176,58,5.5,156,1,3,Education,0,1,0,NO
701,0,31,1,0,175,59,5.4,157,1,3,Health and Medicine,0,1,0,YES
742,0,31,0,0,174,60,5.3,158,1,3,Health and Medicine,0,1,0,YES
783,0,31,1,0,174,61,5.2,159,1,3,Architecture and Engineering,1,1,0,YES
824,0,31,0,0,174,62,5.1,160,1,3,Education,0,1,0,NO
865,0,31,1,0,173,63,5,161,0,3,Health and Medicine,0,1,0,NO
1002,0,31,1,0,172,64,4.9,162,0,3,Health and Medicine,0,1,1,NO
1043,0,31,0,0,172,57,3.8,163,0,3,Health and Medicine,0,1,1,NO
1082,0,31,0,0,171,58,3.8,164,0,3,Health and Medicine,0,1,1,NO
1121,0,31,1,0,171,59,9,165,1,3,Community and Social Services,0,1,1,YES
1160,0,31,1,0,171,60,9,166,1,3,Community and Social Services,0,1,1,YES
1199,0,31,0,0,171,61,9,167,1,3,Community and Social Services,0,1,1,YES
1238,0,31,1,0,171,62,8.5,168,1,3,Education,0,1,0,NO
1277,0,31,1,0,171,63,8.4,169,1,3,Health and Medicine,0,1,0,NO
5,1,32,1,0,168.05,120,7.4,170,1,1,Health and Medicine,1,1,1,NO
43,1,32,0,0,166.8,119,7.3,171,1,1,Education,0,1,0,NO
81,1,32,1,0,165.55,100,7,172,1,1,Sales and Business Management,1,1,1,YES
292,1,32,1,0,164.3,100,7,173,1,1,Education,0,1,0,NO
333,1,32,0,0,163.05,99,7,174,1,1,Sales and Business Management,0,1,0,YES
374,1,32,1,0,161.8,98,7,175,1,1,Sales and Business Management,0,1,1,YES
415,1,32,0,0,160.55,98,7,176,1,1,Architecture and Engineering,0,1,1,NO
456,1,32,1,0,159.3,98,7,177,1,1,Sales and Business Management,0,1,1,NO
497,1,32,1,0,158.05,98,7,178,1,1,Health and Medicine,0,1,1,NO
538,1,32,0,0,156.8,97,7,179,1,1,Health and Medicine,0,1,1,NO
579,1,32,1,0,167,97,7,180,1,1,Health and Medicine,0,1,1,NO
620,1,32,0,0,166,97,7,181,1,1,Health and Medicine,0,1,1,NO
661,0,32,1,0,170,64,8.3,182,1,1,Education,0,1,0,NO
702,0,32,1,0,170,65,8.3,183,1,1,Health and Medicine,0,1,1,NO
743,0,32,0,0,170,66,9,184,1,1,Community and Social Services,0,1,0,NO
784,0,32,0,0,170,67,9,185,1,1,Education,0,1,1,YES
825,0,32,0,0,170,57,9,186,1,1,Community and Social Services,0,1,0,NO
866,0,32,1,0,170,58,9,187,1,1,"Installation, Repair and Maintenance",0,0,0,NO
1003,0,32,1,0,170,59,8.5,188,1,1,Architecture and Engineering,1,0,0,YES
1044,0,32,0,0,170,60,8.4,189,1,1,Architecture and Engineering,0,0,0,YES
1083,0,32,0,0,170,61,8.3,190,1,1,Education,0,0,1,YES
1122,0,32,1,0,170,62,8.3,191,1,1,Education,0,0,1,YES
1161,0,32,1,0,170,63,9,192,1,1,Health and Medicine,0,0,1,NO
1200,0,32,0,0,170,64,9,193,1,1,Community and Social Services,0,0,0,NO
1239,0,32,1,0,170,57,9,194,1,1,Community and Social Services,0,0,1,YES
1278,0,32,1,0,170,58,9,195,1,1,Health and Medicine,0,0,1,NO
6,1,33,1,0,165,96,7.5,196,1,-1,Education,0,1,1,YES
44,1,33,0,0,164,95,7.4,197,1,-1,Education,0,1,1,YES
82,1,33,1,0,163,120,7.3,198,1,-1,Architecture and Engineering,0,1,1,NO
293,1,33,1,0,162,121,7,199,1,-1,Education,0,1,1,YES
334,1,33,0,0,161,121,7,200,1,-1,Community and Social Services,0,0,1,YES
375,1,33,1,0,167,122,7,201,0,-1,Education,0,0,1,YES
416,1,33,0,0,166,121,7,202,0,-1,Architecture and Engineering,0,0,0,YES
457,1,33,1,0,165,120,7,203,0,-1,Education,0,0,1,YES
498,1,33,1,0,164,119,7,204,0,-1,Architecture and Engineering,0,0,0,YES
539,1,33,0,0,163,100,7,205,0,-1,Architecture and Engineering,0,1,0,YES
580,1,33,0,0,162,100,7,206,1,-1,Arts and Entertainment,0,1,0,YES
621,1,33,0,0,161,99,7,207,1,-1,Sales and Business Management,0,1,1,YES
662,0,33,1,0,170,59,8.5,208,1,-1,Education,0,0,1,YES
703,0,33,0,0,170,60,8.4,209,1,-1,Health and Medicine,0,0,1,NO
744,0,33,0,0,170,61,8.3,210,1,-1,Health and Medicine,0,0,0,NO
785,0,33,1,0,170,62,8.3,211,1,-1,Health and Medicine,0,0,0,NO
826,0,33,0,0,181.8,63,9,212,0,-1,Education,0,0,1,YES
867,0,33,1,0,180.55,64,9,213,0,-1,Community and Social Services,0,0,0,NO
1004,0,33,1,0,179.3,65,9,214,0,-1,Education,0,0,1,YES
1045,0,33,0,0,178.05,66,9,215,0,-1,Community and Social Services,0,0,1,YES
1084,0,33,0,0,176.8,67,8.5,216,0,-1,Health and Medicine,0,1,1,NO
1123,0,33,1,0,175.55,57,8.4,217,1,-1,Health and Medicine,0,1,1,NO
1162,0,33,1,0,174.3,58,8.3,218,1,-1,Education,0,1,1,YES
1201,0,33,1,0,173.05,59,8.3,219,1,-1,Education,0,1,1,YES
1240,0,33,1,0,171.8,60,9,220,1,-1,Health and Medicine,0,1,1,NO
1279,0,33,1,0,170.55,61,9,221,1,-1,Community and Social Services,0,1,1,YES
7,1,34,0,0,167,98,7,222,1,-3,Sales and Business Management,0,1,0,YES
45,1,34,1,0,166,98,7.5,223,1,-3,Education,0,0,1,YES
83,1,34,1,0,165,98,7.4,224,1,-3,Community and Social Services,0,1,0,NO
118,1,34,1,0,164,98,7.3,225,1,-3,Sales and Business Management,0,0,1,YES
119,1,34,1,0,163,97,7,226,1,-3,Sales and Business Management,0,1,1,YES
125,1,34,0,0,162,97,7,227,1,-3,Health and Medicine,0,0,0,NO
126,1,34,0,0,161,97,7,228,1,-3,Architecture and Engineering,0,1,0,YES
132,1,34,0,0,167,96,7,229,1,-3,Health and Medicine,0,0,0,NO
133,1,34,1,0,166,95,7,230,1,-3,Health and Medicine,0,1,1,NO
139,1,34,1,0,165,120,7,231,1,-3,Health and Medicine,0,0,1,NO
140,1,34,1,0,164,121,7,232,1,-3,Health and Medicine,0,1,1,NO
146,1,34,0,0,163,121,7,233,0,-3,Health and Medicine,0,0,1,NO
147,1,34,1,0,162,122,7,234,0,-3,Architecture and Engineering,0,1,1,YES
153,1,34,1,0,161,121,7,235,0,-3,Sales and Business Management,0,1,1,NO
154,1,34,1,0,167,120,7.5,236,0,-3,Health and Medicine,0,1,1,NO
160,1,34,0,0,166,119,7.4,40,1,-3,Education,0,1,1,YES
161,1,34,0,0,165,100,7.3,41,1,-3,Sales and Business Management,0,1,1,YES
167,1,34,1,0,164,100,7,42,1,-3,Arts and Entertainment,1,1,0,YES
168,1,34,1,0,163,99,7,43,1,-3,Sales and Business Management,0,1,1,YES
174,1,34,1,0,162,98,7,44,1,-3,Arts and Entertainment,1,1,0,YES
175,1,34,1,0,161,98,7,45,1,-3,Education,0,1,1,YES
181,1,34,1,0,167,98,7,46,1,-3,Sales and Business Management,0,1,1,YES
182,1,34,1,0,166,98,7,47,1,-3,Sales and Business Management,0,1,1,NO
188,1,34,1,0,165,97,7,48,1,-3,Community and Social Services,1,1,1,YES
189,1,34,1,0,164,97,7,49,1,-3,Sales and Business Management,0,1,1,YES
294,1,34,1,0,163,97,7,50,1,-3,Education,0,1,1,YES
335,1,34,0,0,162,96,7,51,1,-3,Architecture and Engineering,0,1,1,NO
376,1,34,0,0,161,95,7.5,52,1,-3,Health and Medicine,0,1,1,NO
417,1,34,0,0,167,89,7.4,53,1,-3,Community and Social Services,0,1,1,YES
458,1,34,1,0,166,89,7.3,54,1,-3,Sales and Business Management,1,1,1,NO
499,1,34,0,0,165,89,7,55,1,-3,Education,1,1,1,YES
540,1,34,0,0,164,88,7,56,1,-3,Sales and Business Management,1,1,0,YES
581,1,34,1,0,163,88,7,57,1,-3,Education,1,1,1,YES
622,1,34,0,0,162,87,7,58,1,-3,Arts and Entertainment,1,1,0,YES
663,0,34,1,0,169.3,62,9,59,1,-3,Education,0,1,1,YES
704,0,34,0,0,168.05,63,9,60,1,-3,Community and Social Services,0,1,1,NO
745,0,34,1,0,166.8,64,8.5,61,1,-3,Education,0,1,0,YES
786,0,34,1,0,165.55,57,8.4,62,1,-3,Arts and Entertainment,0,1,0,YES
827,0,34,1,0,164.3,58,8.3,63,1,-3,Health and Medicine,0,1,0,NO
868,0,34,1,0,163.05,59,8.3,64,1,-3,Health and Medicine,0,1,0,YES
1005,0,34,1,0,161.8,60,9,65,1,-3,Education,0,1,1,YES
1046,0,34,0,0,160.55,61,9,66,1,-3,Community and Social Services,1,1,0,NO
1085,0,34,1,0,159.3,62,9,67,0,-3,"Installation, Repair and Maintenance",1,1,0,NO
1124,0,34,0,0,158.05,63,9,68,0,-3,Arts and Entertainment,1,1,0,YES
1163,0,34,0,0,156.8,64,8.5,69,0,-3,Health and Medicine,1,1,0,YES
1202,0,34,1,0,173.05,65,8.4,70,0,-3,Sales and Business Management,1,1,0,YES
1241,0,34,1,0,171.8,66,8.3,71,1,-3,Education,1,1,1,YES
1280,0,34,1,0,170.55,67,8.3,72,1,-3,Education,1,0,1,YES
1314,0,34,1,0,169.3,57,8,73,1,-3,Community and Social Services,1,0,0,NO
1315,0,34,0,0,168.05,58,8,74,1,-3,Community and Social Services,1,0,0,NO
8,1,35,0,0,161,87,7,75,1,-5,Sales and Business Management,1,1,1,YES
46,1,35,1,0,167,86,7,76,1,-5,Architecture and Engineering,1,1,0,YES
84,1,35,1,0,166,86,7,77,1,-5,Architecture and Engineering,1,1,1,NO
295,1,35,0,0,165,85,7,78,1,-5,Architecture and Engineering,1,1,0,YES
336,1,35,0,0,164,84.6,7,79,0,-5,Sales and Business Management,1,1,0,YES
377,1,35,1,0,163,84.05714286,7,80,0,-5,Health and Medicine,0,1,1,YES
418,1,35,0,0,162,83.51428571,7.5,81,0,-5,Education,0,1,0,NO
459,1,35,1,0,161,82.97142857,7.4,82,0,-5,Health and Medicine,1,1,1,NO
500,1,35,0,0,167,82.42857143,7.3,83,0,-5,Education,0,1,0,NO
541,1,35,1,0,166,81.88571429,7,84,1,-5,Sales and Business Management,1,1,1,YES
582,1,35,1,0,165,81.34285714,7,85,1,-5,Education,0,1,0,YES
623,1,35,1,0,164,80.8,7,86,1,-5,Sales and Business Management,1,1,1,YES
664,0,35,1,0,166.8,59,8,87,1,-5,Health and Medicine,1,0,0,NO
705,0,35,0,0,165.55,60,8.3,88,1,-5,Education,0,0,1,YES
746,0,35,1,0,164.3,61,8,89,1,-5,Health and Medicine,0,0,1,NO
787,0,35,1,0,163.05,62,8,90,1,-5,Architecture and Engineering,1,0,1,NO
828,0,35,1,0,161.8,63,8,91,1,-5,Health and Medicine,0,0,1,NO
869,0,35,1,0,160.55,64,8.3,92,1,-5,Education,1,0,0,YES
1006,0,35,1,0,159.3,57,8,93,1,-5,Health and Medicine,0,0,1,NO
1047,0,35,0,0,158.05,58,8,94,1,-5,Community and Social Services,1,0,1,YES
1086,0,35,1,0,156.8,59,8,95,1,-5,Education,0,0,0,YES
1125,0,35,1,0,173.05,60,8.3,96,1,-5,Health and Medicine,0,0,0,NO
1164,0,35,0,0,171.8,61,8,97,1,-5,Education,0,0,0,YES
1203,0,35,1,0,170.55,62,8,98,1,-5,Education,0,0,0,NO
1242,0,35,1,0,169.3,63,8,99,1,-5,Arts and Entertainment,0,0,0,YES
1281,0,35,0,0,168.05,64,8.3,100,1,-5,Education,0,0,0,NO
1316,0,35,0,0,166.8,65,8,101,1,-5,Arts and Entertainment,1,1,0,YES
1317,0,35,0,0,165.55,66,8,102,1,-5,Education,0,1,1,YES
1318,0,35.5,0,0,164.3,67,8,103,1,-6,Education,0,1,1,YES
1319,0,35.9,0,0,163.05,57,7.5,104,1,-6.8,Health and Medicine,0,1,1,NO
9,1,36,0,0,163,80.25714286,7,105,1,-7,Sales and Business Management,0,1,0,YES
47,1,36,1,0,162,79.71428571,7,106,1,-7,Arts and Entertainment,1,1,0,YES
85,1,36,1,0,161,79.17142857,7,107,1,-7,Sales and Business Management,0,1,1,YES
296,1,36,0,0,167,78.62857143,7,108,1,-7,Health and Medicine,0,1,0,NO
337,1,36,1,0,166,78.08571429,7,109,1,-7,Health and Medicine,0,1,1,NO
378,1,36,1,0,165,77.54285714,7,110,1,-7,Health and Medicine,0,1,1,NO
419,1,36,1,0,164,77,7,111,1,-7,Health and Medicine,0,1,1,NO
460,1,36,1,0,163,76.45714286,6.9,112,1,-7,Community and Social Services,0,1,0,NO
501,1,36,0,0,162,75.91428571,6.8,113,1,-7,Law and Public Policy,0,1,0,NO
542,1,36,1,0,161,88,6.7,114,1,-7,Sales and Business Management,0,1,1,YES
583,1,36,1,0,167,87,6.6,115,0,-7,Education,0,1,1,YES
624,1,36,1,0,166,87,6.5,116,0,-7,Arts and Entertainment,1,0,0,YES
665,0,36,1,0,161.8,58,7.4,117,1,-7,Community and Social Services,1,1,1,YES
706,0,36,0,0,160.55,59,7.3,118,0,-7,Sales and Business Management,0,1,1,NO
747,0,36,1,0,159.3,60,7,119,0,-7,Education,0,1,1,YES
788,0,36,1,0,158.05,61,7,120,0,-7,Sales and Business Management,0,1,1,NO
829,0,36,1,0,156.8,62,7,121,0,-7,Sales and Business Management,0,1,1,YES
870,0,36,1,0,173.05,63,7,122,0,-7,Community and Social Services,0,1,1,YES
1007,0,36,1,0,171.8,64,7,123,1,-7,Sales and Business Management,0,1,0,YES
1048,0,36,0,0,170.55,57,7,124,1,-7,Health and Medicine,0,1,0,NO
1087,0,36,1,0,169.3,58,7,125,1,-7,Health and Medicine,0,1,1,NO
1126,0,36,1,0,168.05,59,7,126,1,-7,Health and Medicine,0,1,1,NO
1165,0,36,0,0,166.8,60,7,127,1,-7,Health and Medicine,0,1,0,YES
1204,0,36,1,0,165.55,61,7,128,1,-7,Arts and Entertainment,0,1,0,YES
1243,0,36,1,0,164.3,62,7.5,129,1,-7,Health and Medicine,0,1,1,NO
1282,0,36,0,0,163.05,63,7.4,130,1,-7,Community and Social Services,0,1,0,NO
1320,0,36.3,0,0,161.8,64,7.3,131,1,-7.6,Architecture and Engineering,0,1,0,YES
1321,0,36.7,0,0,160.55,65,7,132,1,-8.4,Architecture and Engineering,0,1,0,YES
10,1,37,0,0,165,86,6.4,133,0,-9,Education,0,0,1,YES
48,1,37,1,0,164,86,6.3,134,0,-9,Health and Medicine,0,0,1,YES
86,1,37,1,0,163,85,6.2,135,1,-9,Education,0,0,1,YES
297,1,37,0,0,162,84.6,6.1,136,1,-9,Community and Social Services,0,0,1,YES
338,1,37,1,0,161,84.05714286,6,137,1,-9,Health and Medicine,0,1,1,NO
379,1,37,1,0,167,83.51428571,6.9,138,1,-9,Community and Social Services,0,1,1,YES
420,1,37,1,0,166,82.97142857,6.8,139,1,-9,Health and Medicine,0,1,1,NO
461,1,37,1,0,165,82.42857143,6.7,140,1,-9,Architecture and Engineering,0,1,1,YES
502,1,37,0,0,164,81.88571429,6.6,141,1,-9,Education,0,0,0,NO
543,1,37,1,0,163,81.34285714,6.5,142,1,-9,Architecture and Engineering,0,1,1,NO
584,1,37,1,0,162,80.8,6.4,143,1,-9,Community and Social Services,0,0,0,NO
625,1,37,1,0,161,80.25714286,6.3,144,1,-9,Education,0,1,1,YES
666,0,37,1,0,159.3,66,7,145,1,-9,Sales and Business Management,0,1,0,YES
707,0,37,0,0,158.05,67,7,146,1,-9,Health and Medicine,0,1,0,NO
748,0,37,1,0,156.8,57,7,147,1,-9,Health and Medicine,0,1,1,NO
789,0,37,0,0,173.05,58,7,148,0,-9,Health and Medicine,0,1,0,NO
830,0,37,1,0,171.8,59,7,149,0,-9,"Installation, Repair and Maintenance",0,1,1,NO
871,0,37,1,0,170.55,60,7,150,0,-9,Sales and Business Management,0,1,0,YES
1008,0,37,1,0,169.3,61,7,151,0,-9,"Installation, Repair and Maintenance",0,1,0,NO
1049,0,37,0,0,168.05,62,7,152,1,-9,Sales and Business Management,0,1,0,YES
1088,0,37,1,0,166.8,63,7,153,1,-9,Sales and Business Management,0,1,0,YES
1127,0,37,1,0,165.55,64,7.5,154,1,-9,Arts and Entertainment,1,1,0,YES
1166,0,37,0,0,164.3,57,7.4,155,1,-9,Community and Social Services,0,1,0,NO
1205,0,37,1,0,163.05,58,7.3,156,1,-9,Health and Medicine,0,1,1,YES
1244,0,37,1,0,161.8,59,7,157,1,-9,Health and Medicine,0,1,1,YES
1283,0,37,0,0,160.55,60,7,158,1,-9,Health and Medicine,0,1,0,YES
1322,0,37.1,0,0,159.3,61,7,159,1,-9.2,Education,0,1,1,YES
1323,0,37.5,1,0,158.05,62,7,160,1,-10,Sales and Business Management,0,1,0,YES
1324,0,37.9,1,0,156.8,63,7,161,1,-10.8,Sales and Business Management,0,1,0,YES
11,1,38,1,0,167,79.71428571,6.2,162,1,-11,Health and Medicine,0,0,1,NO
49,1,38,1,0,166,79.17142857,6.1,163,1,-11,Health and Medicine,0,1,1,NO
87,1,38,1,0,165,78.62857143,6,164,1,-11,Sales and Business Management,0,0,1,YES
298,1,38,0,0,164,78.08571429,6.9,165,1,-11,Health and Medicine,0,1,0,NO
339,1,38,1,0,163,77.54285714,6.8,166,1,-11,Health and Medicine,0,0,0,YES
380,1,38,1,0,162,77,6.7,167,1,-11,Health and Medicine,0,1,1,NO
421,1,38,1,0,161,76.45714286,6.6,168,1,-11,Education,0,0,1,YES
462,1,38,1,0,167,75.91428571,6.5,169,1,-11,Sales and Business Management,0,1,1,YES
503,1,38,0,0,166,88,6.4,170,1,-11,Education,0,1,0,NO
544,1,38,1,0,165,87,6.3,171,1,-11,Health and Medicine,0,1,1,NO
585,1,38,0,0,164,87,6.2,172,1,-11,Education,0,1,0,NO
